Strain,Dye,Time,Fold_change
iFAST,LIME,-5,0.614110027
iFAST,LIME,-5,0.662315184
iFAST,LIME,-5,0.739350531
iFAST,LIME,-5,0.92518838
iFAST,LIME,-5,0.985171359
iFAST,LIME,-5,0.906727468
iFAST,LIME,-5,0.948504272
iFAST,LIME,-5,0.969542519
iFAST,LIME,-5,0.757676583
iFAST,LIME,-5,0.638999292
iFAST,LIME,-5,1.118756361
iFAST,LIME,-5,1.02967347
iFAST,LIME,-5,0.885057999
iFAST,LIME,-5,1.016816764
iFAST,LIME,-5,0.968701514
iFAST,LIME,-5,1.184148747
iFAST,LIME,-5,1.287062337
iFAST,LIME,-5,1.527024223
iFAST,LIME,-5,1.321137105
iFAST,LIME,-5,1.211645316
iFAST,LIME,-5,0.697940848
iFAST,LIME,-5,0.929391534
iFAST,LIME,-5,1.136582304
iFAST,LIME,-5,1.131577479
iFAST,LIME,-5,1.153005323
iFAST,LIME,-5,0.997361255
iFAST,LIME,-5,1.256008821
iFAST,LIME,-5,1.000522986
iFAST,LIME,2,16.96866673
iFAST,LIME,2,10.78664377
iFAST,LIME,2,8.794888196
iFAST,LIME,2,16.09334679
iFAST,LIME,2,10.3701644
iFAST,LIME,2,11.54800655
iFAST,LIME,2,22.97105542
iFAST,LIME,2,25.00484254
iFAST,LIME,2,7.023796333
iFAST,LIME,2,6.898855518
iFAST,LIME,2,3.476319329
iFAST,LIME,2,7.042946532
iFAST,LIME,2,5.347075018
iFAST,LIME,2,3.973535221
iFAST,LIME,2,4.728949143
iFAST,LIME,2,5.084681326
iFAST,LIME,2,16.25118608
iFAST,LIME,2,22.7422495
iFAST,LIME,2,8.447075325
iFAST,LIME,2,3.677297148
iFAST,LIME,2,6.880550071
iFAST,LIME,2,3.240259034
iFAST,LIME,2,7.447264103
iFAST,LIME,2,7.410252373
iFAST,LIME,2,6.690351731
iFAST,LIME,2,8.297080416
iFAST,LIME,2,7.555826852
iFAST,LIME,2,8.090623887
iFAST,LIME,2,8.212477893
iFAST,LIME,2,7.106321629
iFAST,LIME,2,4.462200579
iFAST,LIME,5,31.05038286
iFAST,LIME,5,32.35959417
iFAST,LIME,5,12.94159187
iFAST,LIME,5,23.755086
iFAST,LIME,5,25.34119601
iFAST,LIME,5,41.49635763
iFAST,LIME,5,34.74463872
iFAST,LIME,5,12.80490882
iFAST,LIME,5,11.20760539
iFAST,LIME,10,30.74250557
iFAST,LIME,10,34.36136877
iFAST,LIME,10,32.84409758
iFAST,LIME,10,23.65535475
iFAST,LIME,10,22.60670902
iFAST,LIME,10,35.02267624
iFAST,LIME,10,33.82581876
iFAST,LIME,10,41.1736513
iFAST,LIME,10,23.09025904
iFAST,LIME,10,20.58063892
iFAST,LIME,10,27.61435125
iFAST,LIME,10,28.83409007
iFAST,LIME,10,22.33565428
iFAST,LIME,10,23.49109459
iFAST,LIME,10,22.0214142
iFAST,LIME,15,5.926265525
iFAST,LIME,15,4.498526769
iFAST,LIME,15,5.438684671
iFAST,LIME,15,5.576287393
iFAST,LIME,15,6.095755277
iFAST,LIME,15,4.896755011
iFAST,LIME,15,5.949716278
iFAST,LIME,15,5.424134715
iFAST,LIME,15,4.733418272
iFAST,LIME,15,4.339625444
iFAST,LIME,15,5.949935426
iFAST,LIME,15,5.581436444
iFAST,LIME,15,19.54910924
iFAST,LIME,15,4.465884895
iFAST,LIME,15,3.612517254
iFAST,LIME,15,6.990609397
iFAST,LIME,15,5.462069866
iFAST,LIME,15,4.893902336
iFAST,LIME,15,4.270123557
iFAST,LIME,15,6.015099298
iFAST,LIME,15,5.627555009
iFAST,LIME,15,5.865314172
iFAST,LIME,15,4.896850538
iFAST,LIME,15,4.119094716
iFAST,LIME,15,5.810425925
iFAST,LIME,15,3.82160731
iFAST,LIME,20,4.003288832
iFAST,LIME,20,3.869417251
iFAST,LIME,20,23.33557976
iFAST,LIME,20,18.42124605
iFAST,LIME,20,4.058566676
iFAST,LIME,20,2.896278451
iFAST,LIME,20,5.54661807
iFAST,LIME,20,3.638176348
iFAST,LIME,20,3.237850275
iFAST,LIME,20,3.145410854
iFAST,LIME,20,23.04384641
iFAST,LIME,20,7.727283321
iFAST,LIME,20,5.857201935
iFAST,LIME,20,3.378734604
iFAST,LIME,20,3.294521678
iFAST,LIME,20,3.985202532
iFAST,LIME,20,25.55163842
iFAST,LIME,20,14.88009251
iFAST,LIME,20,24.29775365
iFAST,LIME,20,9.138932464
iFAST,LIME,20,9.408863362
iFAST,LIME,20,36.1171577
iFAST,LIME,20,4.285256035
iFAST,LIME,20,34.00038639
iFAST,LIME,20,12.67803313
iFAST,LIME,20,19.73387757
iFAST,LIME,20,14.31539015
iFAST,LIME,20,8.465903358
iFAST,LIME,20,6.618718298
iFAST,LIME,20,6.776355305
iFAST,LIME,20,5.821707386
iFAST,LIME,20,12.40924105
iFAST,LIME,20,20.5025378
iFAST,LIME,20,4.849467655
iFAST,LIME,20,32.95115626
iFAST,LIME,20,6.787533747
iFAST,LIME,20,32.14098895
iFAST,LIME,20,9.300929963
iFAST,LIME,20,17.5393067
iFAST,LIME,20,18.31402067
iFAST,LIME,20,3.9388592
iFAST,LIME,20,34.63495026
iFAST,LIME,20,32.83848776
iFAST,LIME,20,5.940999041
iFAST,LIME,20,24.79738205
iFAST,LIME,20,33.28818778
iFAST,LIME,20,4.694902472
iFAST,LIME,20,4.262563873
iFAST,LIME,20,4.540331669
iFAST,LIME,20,16.52192802
iFAST,LIME,20,5.632237667
iFAST,LIME,20,5.52331529
iFAST,LIME,20,5.337267658
iFAST,LIME,20,34.73982121
iFAST,LIME,20,41.39114392
iFAST,LIME,20,5.588198203
iFAST,LIME,20,8.174464073
iFAST,LIME,20,7.340980872
iFAST,LIME,20,25.34756255
iFAST,LIME,20,26.62687977
iFAST,LIME,20,4.053455086
iFAST,LIME,20,3.718940965
iFAST,LIME,25,6.947562656
iFAST,LIME,25,2.068187799
iFAST,LIME,25,14.8592322
iFAST,LIME,25,2.556877507
iFAST,LIME,25,2.281746985
iFAST,LIME,25,2.059616662
iFAST,LIME,25,2.395868986
iFAST,LIME,25,2.530250039
iFAST,LIME,25,3.191411416
iFAST,LIME,25,4.437927552
iFAST,LIME,25,8.199518168
iFAST,LIME,25,2.841448269
iFAST,LIME,25,2.782274453
iFAST,LIME,25,3.356079903
iFAST,LIME,25,2.944575388
iFAST,LIME,25,2.631638956
iFAST,LIME,25,1.890939819
iFAST,LIME,25,2.532321647
iFAST,LIME,25,2.237096902
iFAST,LIME,25,2.587749337
iFAST,LIME,25,3.529180921
iFAST,LIME,25,2.612548695
iFAST,LIME,25,8.821588714
iFAST,LIME,25,3.169745693
iFAST,LIME,25,3.418743236
iFAST,LIME,25,2.860675263
iFAST,LIME,25,23.84541261
iFAST,LIME,25,3.260401957
iFAST,LIME,25,10.88839981
iFAST,LIME,25,3.327742329
iFAST,LIME,25,2.745459394
iFAST,LIME,25,3.336163621
iFAST,LIME,25,3.251516144
iFAST,LIME,25,8.215014021
iFAST,LIME,25,2.796451669
iFAST,LIME,25,3.107724821
iFAST,LIME,25,16.63151159
iFAST,LIME,25,15.05034647
iFAST,LIME,25,2.239361435
iFAST,LIME,25,2.012421086
iFAST,LIME,25,3.666066261
iFAST,LIME,25,2.806525003
iFAST,LIME,25,2.798313494
iFAST,LIME,25,2.242927748
iFAST,LIME,25,3.687598996
iFAST,LIME,25,2.347264866
iFAST,LIME,25,3.225371927
iFAST,LIME,25,3.122832949
iFAST,LIME,25,2.748340165
iFAST,LIME,25,2.703386646
iFAST,LIME,25,19.23568769
iFAST,LIME,25,2.44187704
iFAST,LIME,25,2.29992881
SN152,LIME,-5,1.476705489
SN152,LIME,-5,1.635707796
SN152,LIME,-5,2.351046279
SN152,LIME,-5,1.99399514
SN152,LIME,-5,0.496695681
SN152,LIME,-5,0.739503915
SN152,LIME,-5,0.437782097
SN152,LIME,-5,0.508004397
SN152,LIME,-5,0.645820234
SN152,LIME,-5,0.577726547
SN152,LIME,-5,0.546996976
SN152,LIME,-5,0.59001545
SN152,LIME,2,12.26018642
SN152,LIME,2,14.11336756
SN152,LIME,2,12.80361194
SN152,LIME,2,8.64694184
SN152,LIME,2,2.585784434
SN152,LIME,2,13.75030456
SN152,LIME,2,16.26929551
SN152,LIME,2,3.702049278
SN152,LIME,2,4.287366783
SN152,LIME,2,3.970481337
SN152,LIME,2,4.505889804
SN152,LIME,2,12.22279122
SN152,LIME,2,4.170663354
SN152,LIME,2,3.693956341
SN152,LIME,2,3.828797788
SN152,LIME,2,13.76538681
SN152,LIME,2,14.83675967
SN152,LIME,2,15.80015843
SN152,LIME,2,16.53193332
SN152,LIME,2,3.380210783
SN152,LIME,5,2.231980162
SN152,LIME,5,2.040887727
SN152,LIME,5,2.702637817
SN152,LIME,5,2.976753493
SN152,LIME,5,2.534199388
SN152,LIME,5,2.449449849
SN152,LIME,5,2.549099682
SN152,LIME,5,3.178189088
SN152,LIME,5,2.520959558
SN152,LIME,5,2.017319367
SN152,LIME,5,1.475386078
SN152,LIME,5,1.603600295
SN152,LIME,5,1.746774239
SN152,LIME,5,2.128161794
SN152,LIME,5,2.24876128
SN152,LIME,5,2.133538189
SN152,LIME,5,2.214937539
SN152,LIME,5,2.189174733
SN152,LIME,5,2.020085285
SN152,LIME,5,3.227592488
SN152,LIME,5,4.011244102
SN152,LIME,5,3.137832295
SN152,LIME,5,2.734507586
SN152,LIME,5,3.40186083
SN152,LIME,10,2.098471842
SN152,LIME,10,1.88824383
SN152,LIME,10,1.808483
SN152,LIME,10,1.915411082
SN152,LIME,10,1.726235131
SN152,LIME,10,1.788681774
SN152,LIME,10,2.106913148
SN152,LIME,10,2.155417739
SN152,LIME,10,1.917583585
SN152,LIME,10,1.363456485
SN152,LIME,10,1.908754593
SN152,LIME,10,2.190767535
SN152,LIME,10,3.117862828
SN152,LIME,10,2.492591761
SN152,LIME,10,2.800289789
SN152,LIME,10,2.2323011
SN152,LIME,10,2.367340047
SN152,LIME,10,2.442295038
SN152,LIME,10,2.475109334
SN152,LIME,10,2.348570211
SN152,LIME,10,1.797325152
SN152,LIME,10,1.919899641
SN152,LIME,10,2.728919061
SN152,LIME,10,1.822612495
SN152,LIME,10,1.581611023
SN152,LIME,10,2.065457303
SN152,LIME,10,2.432251786
SN152,LIME,10,2.416876028
SN152,LIME,15,2.499385402
SN152,LIME,15,3.053717317
SN152,LIME,15,2.578261139
SN152,LIME,15,2.2412453
SN152,LIME,15,2.260578377
SN152,LIME,15,2.237565944
SN152,LIME,15,2.540838504
SN152,LIME,15,2.58111392
SN152,LIME,15,1.631144261
SN152,LIME,15,8.291429557
SN152,LIME,15,14.6846653
SN152,LIME,15,2.370358326
SN152,LIME,15,2.010666536
SN152,LIME,15,8.857472503
SN152,LIME,15,2.540925368
SN152,LIME,15,2.568195028
SN152,LIME,15,2.885724178
SN152,LIME,15,2.804659481
SN152,LIME,15,2.773154539
SN152,LIME,15,2.510523135
SN152,LIME,15,2.413294508
SN152,LIME,15,3.929372032
SN152,LIME,15,3.619816038
SN152,LIME,15,2.990046355
SN152,LIME,15,2.429350544
SN152,LIME,20,1.771129857
SN152,LIME,20,1.578289179
SN152,LIME,20,1.378806641
SN152,LIME,20,1.825391213
SN152,LIME,20,1.146370827
SN152,LIME,20,1.675247157
SN152,LIME,20,1.551392575
SN152,LIME,20,1.334544648
SN152,LIME,20,1.09811494
SN152,LIME,20,1.338055763
SN152,LIME,20,1.43360198
SN152,LIME,20,1.561143234
SN152,LIME,20,2.217304799
SN152,LIME,20,1.360007546
SN152,LIME,20,2.527972645
SN152,LIME,20,1.757590119
SN152,LIME,20,1.46439007
SN152,LIME,20,2.358817364
SN152,LIME,20,1.927352531
SN152,LIME,20,2.327627873
SN152,LIME,20,1.624095515
SN152,LIME,20,2.117780232
SN152,LIME,20,1.839400014
SN152,LIME,20,2.257698165
SN152,LIME,20,1.740891293
SN152,LIME,20,2.008430943
SN152,LIME,20,2.88288877
SN152,LIME,20,1.657004903
SN152,LIME,20,1.982141469
SN152,LIME,20,2.515845583
SN152,LIME,20,3.20352672
SN152,LIME,20,1.915386395
SN152,LIME,20,2.738282035
SN152,LIME,20,2.205141162
SN152,LIME,20,1.69247448
SN152,LIME,20,5.179918738
SN152,LIME,20,3.278569489
SN152,LIME,20,2.003522697
SN152,LIME,20,2.056723404
SN152,LIME,20,1.473673495
SN152,LIME,20,1.976750445
SN152,LIME,20,2.740491111
SN152,LIME,20,2.008299276
SN152,LIME,25,0.888598294
SN152,LIME,25,0.69022761
SN152,LIME,25,0.939355851
SN152,LIME,25,0.939706962
SN152,LIME,25,0.697893544
SN152,LIME,25,0.706327535
SN152,LIME,25,0.775832983
SN152,LIME,25,0.730466451
SN152,LIME,25,0.845060468
SN152,LIME,25,0.696971877
SN152,LIME,25,0.700241603
SN152,LIME,25,0.662467857
SN152,LIME,25,1.729150088
SN152,LIME,25,4.757538001
SN152,LIME,25,2.263073646
SN152,LIME,25,5.465634809
SN152,LIME,25,4.68651107
SN152,LIME,25,2.223017675
SN152,LIME,25,2.656135658
SN152,LIME,25,3.326071035
SN152,LIME,25,14.86201501
SN152,LIME,25,3.569961862
SN152,LIME,25,2.118423022
SN152,LIME,25,1.420237799
SN152,LIME,25,1.684580871
SN152,LIME,25,1.562079531
SN152,LIME,25,2.20071478
SN152,LIME,25,1.213089327
SN152,LIME,25,1.537465152
SN152,LIME,25,1.64890648
SN152,LIME,25,1.539732747
SN152,LIME,25,1.533880888
SN152,LIME,25,1.571691208
SN152,LIME,25,1.327807696
SN152,LIME,25,0.852214365
SN152,LIME,25,0.821279978
SN152,LIME,25,0.705566794
SN152,LIME,25,0.946729192
SN152,LIME,25,1.397651454
SN152,LIME,25,1.050007178
SN152,LIME,25,0.933474733
SN152,LIME,25,0.830628322
SN152,LIME,25,0.903505903
SN152,LIME,25,0.836187587
SN152,LIME,25,1.202777255
SN152,LIME,25,1.219835423
SN152,LIME,25,1.021296498
SN152,LIME,25,0.830226007
SN152,AMBER,-5,0.896146439
SN152,AMBER,-5,0.888351979
SN152,AMBER,-5,1.315315201
SN152,AMBER,-5,1.512774866
SN152,AMBER,-5,1.850534819
SN152,AMBER,-5,1.311850997
SN152,AMBER,-5,1.513640917
SN152,AMBER,-5,1.458213643
SN152,AMBER,-5,2.004691926
SN152,AMBER,-5,1.258155825
SN152,AMBER,-5,1.443490773
SN152,AMBER,-5,1.17241676
SN152,AMBER,-5,1.498918048
SN152,AMBER,-5,1.153363634
SN152,AMBER,-5,1.442624722
SN152,AMBER,-5,1.292797871
SN152,AMBER,-5,1.49285569
SN152,AMBER,-5,1.19493409
SN152,AMBER,-5,0.902208797
SN152,AMBER,-5,1.12045369
SN152,AMBER,-5,0.862370444
SN152,AMBER,-5,0.825996295
SN152,AMBER,-5,0.848513625
SN152,AMBER,-5,0.734194872
SN152,AMBER,-5,0.936850844
SN152,AMBER,-5,0.70301703
SN152,AMBER,-5,0.764506663
SN152,AMBER,-5,0.683097854
SN152,AMBER,-5,0.817071157
SN152,AMBER,-5,1.467475579
SN152,AMBER,-5,0.921863347
SN152,AMBER,-5,1.325443189
SN152,AMBER,-5,0.85690951
SN152,AMBER,-5,0.811008799
SN152,AMBER,-5,0.811008799
SN152,AMBER,-5,0.727001836
SN152,AMBER,-5,0.876828687
SN152,AMBER,-5,0.81187485
SN152,AMBER,-5,0.810142748
SN152,AMBER,-5,1.927348746
SN152,AMBER,-5,0.877694738
SN152,AMBER,-5,0.921863347
SN152,AMBER,-5,0.777232803
SN152,AMBER,-5,0.739992603
SN152,AMBER,-5,0.739126552
SN152,AMBER,-5,0.83757973
SN152,AMBER,-5,0.779554302
SN152,AMBER,-5,0.665235548
SN152,AMBER,-5,0.595951455
SN152,AMBER,-5,0.83757973
SN152,AMBER,-5,0.732787539
SN152,AMBER,-5,0.714600465
SN152,AMBER,-5,0.690351032
SN152,AMBER,-5,0.669565804
SN152,AMBER,-5,0.595085404
SN152,AMBER,-5,0.59941566
SN152,AMBER,-5,0.671297907
SN152,AMBER,-5,0.646182423
SN152,AMBER,-5,0.662637395
SN152,AMBER,2,10.96637283
SN152,AMBER,2,10.12890136
SN152,AMBER,2,8.848877742
SN152,AMBER,2,4.532478753
SN152,AMBER,2,7.546336795
SN152,AMBER,2,5.031324222
SN152,AMBER,2,5.441832473
SN152,AMBER,2,4.462653379
SN152,AMBER,2,5.294928545
SN152,AMBER,2,5.067157089
SN152,AMBER,2,14.83794629
SN152,AMBER,2,6.711788245
SN152,AMBER,2,5.171083229
SN152,AMBER,2,4.600355513
SN152,AMBER,2,6.662423329
SN152,AMBER,2,4.991810638
SN152,AMBER,2,3.891925663
SN152,AMBER,2,3.864212026
SN152,AMBER,2,9.681585934
SN152,AMBER,2,8.960165316
SN152,AMBER,2,9.930142617
SN152,AMBER,2,7.625580476
SN152,AMBER,2,6.253755437
SN152,AMBER,2,8.332278224
SN152,AMBER,2,10.22893027
SN152,AMBER,2,10.33285641
SN152,AMBER,2,7.74769369
SN152,AMBER,5,14.16913828
SN152,AMBER,5,17.00025953
SN152,AMBER,5,12.7271631
SN152,AMBER,5,15.62930054
SN152,AMBER,5,16.42000525
SN152,AMBER,5,14.82040876
SN152,AMBER,5,16.89373524
SN152,AMBER,5,14.37872266
SN152,AMBER,5,19.93812158
SN152,AMBER,5,20.89857232
SN152,AMBER,5,15.98459803
SN152,AMBER,5,14.83794629
SN152,AMBER,5,12.24845332
SN152,AMBER,5,13.82293433
SN152,AMBER,5,16.75624962
SN152,AMBER,5,12.73690617
SN152,AMBER,5,9.053590585
SN152,AMBER,5,29.91762912
SN152,AMBER,10,2.882867804
SN152,AMBER,10,2.91750985
SN152,AMBER,10,2.871609139
SN152,AMBER,10,2.588410409
SN152,AMBER,10,2.575419641
SN152,AMBER,10,2.548572055
SN152,AMBER,10,2.144126163
SN152,AMBER,10,2.734773055
SN152,AMBER,10,3.131424487
SN152,AMBER,10,2.937429027
SN152,AMBER,10,3.891817407
SN152,AMBER,10,2.871609139
SN152,AMBER,10,2.852014731
SN152,AMBER,10,3.37337753
SN152,AMBER,10,2.987984763
SN152,AMBER,10,3.839313055
SN152,AMBER,10,2.310732755
SN152,AMBER,10,2.832095554
SN152,AMBER,10,3.175917865
SN152,AMBER,10,2.436310174
SN152,AMBER,10,2.755883052
SN152,AMBER,10,3.583827962
SN152,AMBER,10,3.332673126
SN152,AMBER,10,3.266853237
SN152,AMBER,10,3.646183646
SN152,AMBER,10,2.471060476
SN152,AMBER,10,2.288323681
SN152,AMBER,10,3.151776689
SN152,AMBER,10,2.55593349
SN152,AMBER,10,2.051891714
SN152,AMBER,10,2.432088174
SN152,AMBER,10,2.289189732
SN152,AMBER,10,1.893404352
SN152,AMBER,10,2.212111179
SN152,AMBER,10,1.945367421
SN152,AMBER,10,1.932376654
SN152,AMBER,15,5.123125646
SN152,AMBER,15,5.219257324
SN152,AMBER,15,3.59800955
SN152,AMBER,15,4.009383852
SN152,AMBER,15,3.636115801
SN152,AMBER,15,3.251589086
SN152,AMBER,15,4.689234014
SN152,AMBER,15,4.820007739
SN152,AMBER,15,3.43345983
SN152,AMBER,15,1.797489186
SN152,AMBER,15,2.781323305
SN152,AMBER,15,7.439379477
SN152,AMBER,15,3.625290162
SN152,AMBER,15,7.604795249
SN152,AMBER,15,5.365186945
SN152,AMBER,15,3.428913061
SN152,AMBER,15,4.316615501
SN152,AMBER,15,4.605010538
SN152,AMBER,15,4.682955143
SN152,AMBER,15,5.081338677
SN152,AMBER,15,2.806222276
SN152,AMBER,15,4.122620041
SN152,AMBER,15,2.613958918
SN152,AMBER,20,3.060841317
SN152,AMBER,20,2.20518277
SN152,AMBER,20,3.027931373
SN152,AMBER,20,2.258011891
SN152,AMBER,20,2.668520141
SN152,AMBER,20,2.264074249
SN152,AMBER,20,2.387053514
SN152,AMBER,20,2.147157342
SN152,AMBER,20,2.800159918
SN152,AMBER,20,1.654157718
SN152,AMBER,20,1.587471779
SN152,AMBER,20,1.553695784
SN152,AMBER,20,2.536663852
SN152,AMBER,20,1.993649774
SN152,AMBER,20,1.521651891
SN152,AMBER,20,1.66281823
SN152,AMBER,20,1.829100053
SN152,AMBER,20,1.64809536
SN152,AMBER,20,1.750289397
SN152,AMBER,20,1.545901323
SN152,AMBER,20,1.5658205
SN152,AMBER,20,1.414261547
SN152,AMBER,20,1.32765643
SN152,AMBER,20,1.44630544
SN152,AMBER,20,1.816109286
SN152,AMBER,20,1.994515825
SN152,AMBER,20,1.925231732
SN152,AMBER,20,1.790127751
SN152,AMBER,20,1.730370221
SN152,AMBER,20,1.902714402
SN152,AMBER,20,1.844688974
SN152,AMBER,20,2.425809303
SN152,AMBER,20,2.553118824
SN152,AMBER,20,2.118361141
SN152,AMBER,20,1.556943475
SN152,AMBER,20,1.750938936
SN152,AMBER,20,1.311850997
SN152,AMBER,20,1.262486081
SN152,AMBER,20,1.230442188
SN152,AMBER,20,1.375072732
SN152,AMBER,20,1.570800294
SN152,AMBER,20,1.73188581
SN152,AMBER,20,1.697243764
SN152,AMBER,20,1.844472461
SN152,AMBER,20,1.498051997
SN152,AMBER,20,1.207058806
SN152,AMBER,20,1.336100429
SN152,AMBER,20,1.516239071
SN152,AMBER,20,1.242566904
SN152,AMBER,25,2.213518512
SN152,AMBER,25,2.291463117
SN152,AMBER,25,2.240366098
SN152,AMBER,25,2.151162829
SN152,AMBER,25,2.345158289
SN152,AMBER,25,3.163576636
SN152,AMBER,25,2.418772638
SN152,AMBER,25,2.26374948
SN152,AMBER,25,3.298680618
SN152,AMBER,25,2.527029033
SN152,AMBER,25,2.602375484
SN152,AMBER,25,2.5400198
SN152,AMBER,25,1.997871773
SN152,AMBER,25,1.990943364
SN152,AMBER,25,2.161555443
SN152,AMBER,25,2.354684852
SN152,AMBER,25,1.612479006
SN152,AMBER,25,1.613236801
SN152,AMBER,25,1.738814219
SN152,AMBER,25,1.592451573
SN152,AMBER,25,1.502382252
SN152,AMBER,25,1.666931973
SN152,AMBER,25,1.601978136
SN152,AMBER,25,1.708502429
SN152,AMBER,25,2.047128433
SN152,AMBER,25,1.917220759
SN152,AMBER,25,1.703306122
SN152,AMBER,25,1.449553131
SN152,AMBER,25,2.047128433
